Open,High,Low,Volume,Predicted Price
93.75,94.900497,93.207497,1,93.76375056991218
93.224998,94.309998,93.224998,1,93.61599990409711
93.0,95.184502,93.0,1,94.22074054794108
95.224998,95.694504,94.601997,1,94.66246586569342
94.902,95.550003,94.321999,1,94.50780783651214
95.494499,95.890999,94.790001,1,94.81290533373004
95.268501,95.347,94.0,1,93.9027038086879
94.565498,94.900002,94.040001,1,93.97733236001048
94.293999,94.355499,92.927498,1,92.83749293160838
93.612503,93.943001,92.754501,1,92.75883958518054
94.149498,94.279503,93.301003,1,93.15238761309271
94.294502,94.332001,92.862503,1,92.7683175359267
93.25,94.713501,93.0,1,93.7299036399956
94.804497,95.125,94.167,1,94.11777091624312
94.255501,94.499001,93.638,1,93.52598425244707
94.568497,94.749496,92.372002,1,92.5489883138201
91.0,92.050003,90.766998,1,91.17949431788702
92.025002,92.905502,91.500999,1,91.8482329549587
93.199997,93.737503,92.750999,1,92.82426045216259
92.900002,93.643501,92.530502,1,92.74210941074989
102.573502,102.786003,100.113503,1,100.37631236280944
100.529999,102.425003,100.012497,1,101.13045419038237
101.494003,102.989998,100.768501,1,101.63025940009794
103.551003,103.551003,101.599998,1,101.59484894320099
102.051003,102.815002,101.239998,1,101.5678517792409
102.099503,104.926498,101.904999,1,103.65887775803904
104.250504,106.779999,104.248001,1,105.73808379571614
107.544998,109.297501,106.800003,1,107.86404382220113
108.160004,109.012497,107.764503,1,108.07531596069455
107.249496,108.514,107.099998,1,107.66877822008361
107.783997,107.952003,106.294502,1,106.32113777040044
106.250999,108.303497,106.205498,1,107.34618556030622
108.389999,109.254997,108.056,1,108.36333859407726
108.653503,108.8395,106.372498,1,106.58176356031731
107.107498,107.227501,104.400002,1,104.64903920055848
100.158997,101.964996,99.398499,1,100.50069713867724
101.320999,101.730003,97.920998,1,98.53118544908273
98.514,100.733498,98.022499,1,99.37834645398266
96.719002,98.75,94.138,1,95.79478432764799
90.731499,94.487999,90.556503,1,92.99932794769649
95.324501,97.725502,93.5,1,95.27406945303505
98.768501,99.816498,94.404503,1,95.7001946425672
97.328499,98.900002,96.099998,1,97.12265410299713
96.650002,98.036003,95.5,1,96.3654303474095
93.75,95.543503,93.474998,1,94.45968101797945
88.693001,93.138496,88.064499,1,91.1223427274798
93.543999,94.713501,90.908501,1,91.92424765194279
92.892502,93.566002,90.074997,1,90.75459672455915
86.098999,88.25,83.75,1,85.44006538208556
87.75,89.315498,84.030998,1,85.57183765794498
