Open,High,Low,Volume,Predicted Price
28.299999,28.713333,28.114,1,27.98907737677248
29.366667,30.266666,29.128,1,29.38241604464626
29.364668,30.104,29.333332,1,29.422363319115746
30.76,31.441999,30.224001,1,30.378171275328704
31.58,33.232666,31.215334,1,32.066326419223905
33.139999,33.253334,31.524668,1,31.48102482977213
32.119331,32.329334,31.58,1,31.379631357948952
32.900002,35.042,32.799999,1,33.96501767837943
36.284,36.493999,34.993332,1,34.955926005797615
35.317333,35.855999,34.452667,1,34.57198176153629
32.916668,34.297333,32.811333,1,33.40284255113404
33.840668,34.377998,33.543999,1,33.54035568285073
35.349998,36.571999,35.227333,1,35.70458824558749
38.125999,39.633331,37.273335,1,38.12334678078173
37.616669,38.799999,37.040001,1,37.586354192671266
38.042,38.257332,36.950668,1,36.876190837882845
36.132668,37.629333,35.952,1,36.64949785757488
37.899334,38.453999,37.205334,1,37.302343920131065
38.379333,39.32,37.828667,1,38.186895409161394
42.161331,43.391998,41.200001,1,41.86732079123295
42.666668,43.533333,42.167999,1,42.46251190029929
44.912666,52.409332,44.901333,1,50.098180660474114
58.863998,64.599335,55.591999,1,60.163551556664345
54.883999,56.398666,46.940666,1,49.31733702826382
46.661331,53.055332,45.799999,1,50.346703627154895
48.703335,51.316666,48.666668,1,50.18578546766513
53.333332,54.666,50.16,1,51.38328162225396
51.252666,52.234001,50.533333,1,50.96776400403505
51.858002,52.650002,50.891335,1,51.235930242434975
49.456001,54.533333,49.0,1,52.46873073885742
52.481335,54.198002,52.366669,1,53.22840073969086
56.106667,57.333332,55.490665,1,56.09191483830741
61.566666,62.985332,60.068001,1,61.00604809880848
60.796665,60.799999,57.329334,1,57.6173595720713
60.465332,60.870667,58.696667,1,58.926471027488674
55.933334,57.566666,54.813332,1,55.8286357159671
56.599998,57.106667,52.466667,1,53.27317166323413
52.166668,54.220669,51.740665,1,52.92302162367285
48.666668,49.318001,44.599998,1,45.495583686935085
41.98,46.034668,40.768002,1,43.62008082432245
47.417332,49.579334,45.778,1,47.29647238056145
53.666668,53.798668,47.740665,1,48.64358215126593
50.930668,51.101334,48.315334,1,48.541019326241084
48.251331,49.716667,47.871334,1,48.596650526579985
46.0,47.133331,45.618,1,46.09146194548383
40.359333,44.200001,40.333332,1,42.77034119985522
43.962002,44.533333,40.533333,1,41.229276916126345
42.68,43.571999,40.866669,1,41.46001925625271
38.726002,39.633331,36.416668,1,37.124163071379016
39.666668,40.504665,33.466667,1,34.950304744826155
31.299999,32.991333,29.478001,1,30.668030310152844
29.334,31.456667,26.4,1,28.15071884197048
25.933332,26.990667,23.367332,1,24.23309907991557
24.98,30.133333,23.897333,1,27.53846552577317
29.213333,31.799999,28.386,1,30.03864539093865
28.906668,29.466667,27.366667,1,27.640976014089343
31.82,34.245998,31.6,1,33.0041057800833
36.349998,37.133331,34.074001,1,34.6790351390605
36.492668,37.333332,34.150002,1,34.812600725424474
33.666668,35.053333,32.935333,1,33.66511856810513
34.017334,34.443333,32.748669,1,32.86792500255435
33.416668,36.197334,33.133331,1,34.81980980744831
33.599998,34.263332,31.673332,1,32.11141230301868
32.068668,32.950668,29.76,1,30.443259571577467
33.966667,34.366001,31.226,1,31.63827194391751
34.080002,34.733334,33.197334,1,33.406104284077415
36.333332,37.666668,35.489334,1,36.204829647318896
36.946667,37.147331,35.555332,1,35.532792912300195
37.472668,38.345333,37.140667,1,37.40036694049269
39.344002,43.466667,38.702,1,41.48216172299015
46.598,49.458668,46.161999,1,47.95119521643429
49.466667,50.208668,47.333332,1,47.886618969720935
47.796001,50.630001,47.114666,1,48.936825320509186
51.485332,51.663334,49.844002,1,49.86841167294848
48.846668,51.037998,47.480667,1,48.96419101866082
48.674667,50.222,44.919334,1,46.42498913089184
46.931999,48.933334,45.914001,1,47.17864486495964
48.506668,48.933334,46.875332,1,47.08308143358045
47.387333,48.715332,46.545334,1,47.26463725866893
49.174,53.299332,49.0,1,51.68995000754995
53.042667,53.666668,50.445999,1,51.01146976587495
52.678001,53.546665,52.210667,1,52.50750401921351
57.012669,57.987999,50.900002,1,52.48168166948682
50.333332,51.518002,45.535999,1,46.990848956951154
46.733334,50.799999,46.533333,1,49.182708889369934
52.652668,53.261333,50.812,1,51.20475838638349
51.766666,52.653332,50.740665,1,51.16926990984299
51.813999,53.093334,51.490002,1,52.06567264161926
52.917999,54.933334,52.467335,1,53.62631477751311
52.700668,54.933334,52.333332,1,53.63846260160588
55.133331,56.219334,53.866669,1,54.49945268939135
54.722,55.066666,50.886665,1,51.50608474928905
52.0,53.557335,50.933334,1,51.87698771035254
52.689999,53.669998,52.436668,1,52.77201900585033
55.185333,55.647999,53.591999,1,53.82382743496128
54.344666,54.804668,53.738667,1,53.75779266482586
54.700001,55.066666,54.119999,1,54.06340815443439
54.400002,55.5,53.066666,1,53.72365053595105
54.811333,55.452,54.133331,1,54.304491050354656
55.633331,55.639999,54.380669,1,54.19616305546166
54.723999,55.180668,52.333332,1,52.72992830140933
54.234001,54.983334,53.445999,1,53.72215235006459
53.916668,55.666668,53.613998,1,54.541961684989886
57.200001,59.933334,56.939999,1,58.60356069242326
59.646667,60.577332,58.066666,1,58.65223873180871
59.208,59.862667,58.673332,1,58.82784967330135
59.325333,59.716667,57.229332,1,57.517359495736336
58.522667,59.101334,57.746666,1,57.894652092592864
61.266666,63.333332,60.610668,1,61.8583184935232
62.667332,63.629333,61.595333,1,62.09873410710834
66.125336,68.498665,65.5,1,66.97622804708173
66.013336,67.930664,64.800003,1,66.05705790413363
