Date,Close,Predicted Price
2020-01-02,28.684,-492.7083485100303
2020-01-03,29.534,-941.7802045908418
2020-01-06,30.102667,-524.0996327467329
2020-01-07,31.270666,-946.4436696473103
2020-01-08,32.809334,-1669.2121872085972
2020-01-09,32.089333,-1522.0951168441093
2020-01-10,31.876667,-676.5418448394915
2020-01-13,34.990665,-1414.5768694768306
2020-01-14,35.861332,-1548.9811677491518
2020-01-15,34.566666,-914.2104984140497
2020-01-16,34.232666,-1153.9791385148746
2020-01-17,34.033333,-710.9584748029727
2020-01-21,36.48,-936.8236743510856
2020-01-22,37.970669,-1675.4295567941715
2020-01-23,38.146667,-1035.8628493355836
2020-01-24,37.654667,-747.1989436830859
2020-01-27,37.201332,-706.7021933808529
2020-01-28,37.793331,-606.6524628153975
2020-01-29,38.732666,-934.232115830617
2020-01-30,42.720669,-1542.5887169089667
2020-01-31,43.371334,-816.2149116762911
2020-02-03,52.0,-2520.859371824957
2020-02-04,59.137333,-3268.659738572382
2020-02-05,48.98,-2595.865587331502
2020-02-06,49.930668,-2128.169049756425
2020-02-07,49.871334,-881.9194750779278
2020-02-10,51.418667,-1297.2810150597195
2020-02-11,51.625332,-588.0161059927797
2020-02-12,51.152668,-605.5012852497865
2020-02-13,53.599998,-1383.60211402681
2020-02-14,53.335335,-804.050605468646
2020-02-18,57.226665,-838.7695581418444
2020-02-19,61.161331,-1327.742571427871
2020-02-20,59.960667,-905.7010136383692
2020-02-21,60.066666,-723.0291871697206
2020-02-24,55.585999,-774.0555927509959
2020-02-25,53.327332,-891.2321178899199
2020-02-26,51.919998,-716.5069685055464
2020-02-27,45.266666,-1280.6629334747074
2020-02-28,44.532665,-1279.572261997626
2020-03-02,49.574669,-1055.869100223082
2020-03-03,49.700668,-1359.8249072949272
2020-03-04,49.966667,-773.5208119870533
2020-03-05,48.302666,-544.2394463178665
2020-03-06,46.898666,-645.6280380244561
2020-03-09,40.533333,-889.8921012659014
2020-03-10,43.021999,-810.6253994223831
2020-03-11,42.282001,-686.290578217596
2020-03-12,37.369999,-995.7982496167456
2020-03-13,36.441334,-1201.791439366258
2020-03-16,29.671333,-1088.5848045962516
2020-03-17,28.68,-1282.5705815904353
2020-03-18,24.081333,-1275.1042099640508
2020-03-19,28.509333,-1621.9112043911498
2020-03-20,28.502001,-1515.0759786914396
2020-03-23,28.952667,-871.1972463570337
2020-03-24,33.666668,-1217.661723767245
2020-03-25,35.950001,-1124.6253472049816
2020-03-26,35.210667,-914.6199250236856
2020-03-27,34.290668,-751.7101070999117
2020-03-30,33.475334,-622.5364239355505
2020-03-31,34.933334,-935.9604310789076
2020-04-01,32.104,-697.3161934991655
2020-04-02,30.298,-1054.3353096666694
2020-04-03,32.000668,-1200.8317441125798
2020-04-06,34.416,-780.6148271617589
2020-04-07,36.363335,-942.6763993527874
2020-04-08,36.589333,-655.8097898763526
2020-04-09,38.200001,-708.2401402248814
2020-04-13,43.396667,-1186.251808012117
2020-04-14,47.326,-1622.31085818895
2020-04-15,48.655334,-1240.022998143048
2020-04-16,49.680668,-1079.5149738364382
2020-04-17,50.259335,-667.2684164785694
2020-04-20,49.757332,-756.5788351321382
2020-04-21,45.781334,-1057.5108055388605
2020-04-22,48.807335,-726.621399540052
2020-04-23,47.042,-675.9806328294809
