Date,Close,Predicted Price
1986-03-13,0.097222,-3757.8767387265048
1986-03-14,0.100694,-1122.626339150674
1986-03-17,0.102431,-485.3660353482567
1986-03-18,0.099826,-247.18290398464197
1986-03-19,0.09809,-174.81672801133266
1986-03-20,0.095486,-213.20636056164145
1986-03-21,0.092882,-218.87192983795623
1986-03-24,0.090278,-238.1733224772082
1986-03-25,0.092014,-117.24442618911864
1986-03-26,0.094618,-83.25983650609861
1986-03-27,0.096354,-61.75719053431193
1986-03-31,0.095486,-47.28519378995509
1986-04-01,0.094618,-40.78205502465823
1986-04-02,0.095486,-98.77963519030328
1986-04-03,0.096354,-84.30427813146524
1986-04-04,0.096354,-97.20598869064908
1986-04-07,0.094618,-60.71002868247942
1986-04-08,0.095486,-37.73871706603439
1986-04-09,0.097222,-44.6600143901829
1986-04-10,0.09809,-50.95317707005727
1986-04-11,0.099826,-63.115648301500855
1986-04-14,0.100694,-44.65632556036911
1986-04-15,0.100694,-34.27625234747537
1986-04-16,0.104167,-116.60274832855464
1986-04-17,0.105035,-80.52204273511724
1986-04-18,0.101563,-79.16178973718833
1986-04-21,0.101563,-83.88290112972436
1986-04-22,0.099826,-57.03325950196564
1986-04-23,0.10026,-57.24342112378828
1986-04-24,0.110243,-227.45680892586532
1986-04-25,0.117188,-312.8196436537813
1986-04-28,0.118056,-105.5756722742462
1986-04-29,0.114583,-110.82291239678378
1986-04-30,0.111979,-112.92404141478664
1986-05-01,0.110243,-198.29931620968583
1986-05-02,0.110243,-74.1182308917
1986-05-05,0.109375,-12.239572683523509
1986-05-06,0.110243,-35.83587210994596
1986-05-07,0.110243,-19.16176681366868
1986-05-08,0.111111,-13.287730541191426
1986-05-09,0.110243,-22.517071691480616
1986-05-12,0.111111,-38.56147564099591
1986-05-13,0.111979,-14.33433642434041
1986-05-14,0.111111,-34.26290893610399
1986-05-15,0.111111,-14.229455121721392
1986-05-16,0.111979,-43.90955342585914
1986-05-19,0.110243,-40.45227244225051
1986-05-20,0.109375,-226.0932320495148
1986-05-21,0.107639,-29.86052832951531
1986-05-22,0.107639,-16.43609224006994
1986-05-23,0.107639,-15.281742742738466
1986-05-27,0.111111,-50.94007529616028
1986-05-28,0.114583,-56.914834950617454
1986-05-29,0.117188,-166.72211160039063
1986-05-30,0.121528,-98.96397677339829
1986-06-02,0.118056,-72.22243432510408
1986-06-03,0.118056,-18.63019741722972
1986-06-04,0.117188,-17.580729222517263
1986-06-05,0.118924,-50.30322579402333
1986-06-06,0.118924,-12.860856337235251
1986-06-09,0.113715,-46.53048856843081
1986-06-10,0.113715,-12.866069230222942
1986-06-11,0.113715,-8.775698428081213
1986-06-12,0.109375,-50.31142756846146
1986-06-13,0.109375,-29.12567588536997
1986-06-16,0.108507,-35.31435606570429
1986-06-17,0.110243,-48.002316693936585
1986-06-18,0.109375,-16.226428834670642
1986-06-19,0.108507,-31.223985263562557
1986-06-20,0.108941,-14.232716236363826
1986-06-23,0.110243,-168.61894009747536
1986-06-24,0.109375,-53.45795277008779
1986-06-25,0.107639,-55.871091379031945
1986-06-26,0.104167,-70.13805248425635
1986-06-27,0.103299,-38.25624443127714
1986-06-30,0.106771,-227.45836866774772
1986-07-01,0.106771,-173.65537200902014
1986-07-02,0.106771,-192.0095999673484
1986-07-03,0.108507,-51.88531735677599
1986-07-07,0.104167,-51.57453176631781
1986-07-08,0.101563,-52.312361589614056
1986-07-09,0.097222,-168.41993618661232
1986-07-10,0.094618,-171.15190499484822
1986-07-11,0.097222,-63.74796977850648
1986-07-14,0.09592,-104.54745166582704
1986-07-15,0.097222,-48.43600436457139
1986-07-16,0.100694,-34.48392209001792
1986-07-17,0.102431,-25.672624463432214
1986-07-18,0.103299,-45.2850579486965
1986-07-21,0.103299,-13.188459933891703
1986-07-22,0.106771,-38.67330613326871
1986-07-23,0.104167,-76.11581688791266
1986-07-24,0.107639,-51.88574431714489
1986-07-25,0.108507,-74.85432263034109
1986-07-28,0.105903,-43.39242351040992
1986-07-29,0.103299,-51.5764825439157
1986-07-30,0.099826,-96.57587324679552
1986-07-31,0.098958,-57.3483024264073
1986-08-01,0.09809,-47.386130652119455
1986-08-04,0.09809,-45.71023695325636
1986-08-05,0.097222,-10.677860058357426
1986-08-06,0.096354,-67.10623616772062
1986-08-07,0.095486,-13.721838457534624
1986-08-08,0.096354,-15.503012262095703
1986-08-11,0.099826,-29.344738261686008
1986-08-12,0.102431,-36.789572695420446
1986-08-13,0.103299,-25.461779483358093
1986-08-14,0.105903,-73.70366120802095
1986-08-15,0.106337,-22.626509717817697
1986-08-18,0.105035,-46.95920684824392
1986-08-19,0.105035,-74.64951537563103
1986-08-20,0.104167,-76.0126165681272
1986-08-21,0.104167,-180.78791287037689
1986-08-22,0.102431,-21.371722148481272
1986-08-25,0.102431,-9.206516858986395
1986-08-26,0.101563,-39.93605441330494
1986-08-27,0.101563,-35.11172876025625
1986-08-28,0.101563,-12.87620849197036
1986-08-29,0.098958,-93.0089411092034
1986-09-02,0.096354,-19.385186335894268
1986-09-03,0.09375,-67.10999528528076
1986-09-04,0.101563,-143.9799865415021
1986-09-05,0.105903,-96.3597888156741
1986-09-08,0.105035,-35.42202863733798
1986-09-09,0.106771,-137.04957552397252
1986-09-10,0.105035,-40.036620629680286
1986-09-11,0.100694,-130.23832894412817
1986-09-12,0.09809,-89.44247827594228
1986-09-15,0.099826,-82.31181790443712
1986-09-16,0.099826,-19.277072901515726
1986-09-17,0.102431,-29.657017106094845
1986-09-18,0.103299,-19.901076781693355
1986-09-19,0.103299,-9.518952836560532
1986-09-22,0.102431,-16.75641788579509
1986-09-23,0.104167,-22.103584136692746
1986-09-24,0.102865,-17.805045589090767
1986-09-25,0.100694,-19.16982036208478
1986-09-26,0.100694,-8.892271212911497
1986-09-29,0.09809,-22.94838833880914
1986-09-30,0.09809,-19.27678837878248
1986-10-01,0.097222,-118.49655063381078
1986-10-02,0.097222,-83.15105364828379
1986-10-03,0.09809,-53.99336819438438
1986-10-06,0.105903,-311.1549158554553
1986-10-07,0.108073,-218.12195379976723
1986-10-08,0.111111,-435.95927270642056
1986-10-09,0.114583,-337.4703531961232
1986-10-10,0.119792,-279.8870997780349
1986-10-13,0.114583,-99.18003383447147
1986-10-14,0.116319,-47.26272144837622
1986-10-15,0.121528,-231.74478826391203
1986-10-16,0.121528,-79.98094557295256
1986-10-17,0.125,-453.56484150199583
1986-10-20,0.125868,-158.95314816482664
1986-10-21,0.131076,-409.6143638123866
1986-10-22,0.131076,-199.11622262812276
1986-10-23,0.131076,-256.9064896183692
1986-10-24,0.130208,-369.5520554400603
1986-10-27,0.134549,-457.9609554899405
1986-10-28,0.137587,-519.8361388573452
1986-10-29,0.133681,-194.1846997867122
1986-10-30,0.136285,-161.98334146429465
1986-10-31,0.134549,-232.46430303534623
1986-11-03,0.137153,-154.01125217906807
1986-11-04,0.142361,-198.47722168655176
1986-11-05,0.151042,-164.5927557767668
1986-11-06,0.154514,-264.6427972478653
1986-11-07,0.153646,-161.7574009408736
1986-11-10,0.147569,-104.81111152646602
1986-11-11,0.148438,-43.6637462610345
1986-11-12,0.148438,-124.73705028735756
1986-11-13,0.146267,-110.370960659931
1986-11-14,0.147569,-68.52550682885997
1986-11-17,0.148438,-88.86916806758536
1986-11-18,0.140625,-217.6686331940604
1986-11-19,0.145833,-177.81147530725593
1986-11-20,0.157118,-357.8835282459346
1986-11-21,0.162326,-331.9696154275292
1986-11-24,0.175347,-633.3923393492281
1986-11-25,0.177083,-349.15607983687016
1986-11-26,0.175347,-141.59623831927547
1986-11-28,0.172743,-150.82958022459917
1986-12-01,0.169271,-147.05645927643468
1986-12-02,0.170139,-105.10116204031952
1986-12-03,0.168837,-128.38748821041062
1986-12-04,0.171007,-155.1315437671087
1986-12-05,0.170139,-391.84842358338886
1986-12-08,0.168403,-82.87105285119314
1986-12-09,0.167535,-58.95845834255596
1986-12-10,0.168837,-100.80631156772888
1986-12-11,0.170139,-42.69941437075298
1986-12-12,0.164063,-92.4179283781928
1986-12-15,0.159722,-185.24399068150305
1986-12-16,0.161458,-281.83571233508485
1986-12-17,0.163194,-85.39281904947839
1986-12-18,0.164497,-46.4814569747435
1986-12-19,0.168403,-206.4204019254873
1986-12-22,0.170139,-67.03098648702917
1986-12-23,0.171875,-86.95800702427383
1986-12-24,0.171441,-25.917345265448244
1986-12-26,0.171007,-13.855105372924946
1986-12-29,0.164063,-152.1987752110944
1986-12-30,0.165799,-92.83815278222978
1986-12-31,0.167535,-85.38716522295535
1987-01-02,0.165799,-46.37359883427038
1987-01-05,0.175347,-176.94398438699272
1987-01-06,0.177951,-146.1052227979277
1987-01-07,0.1875,-222.4509348981826
1987-01-08,0.193576,-224.2254577630447
1987-01-09,0.201389,-232.29547916123644
1987-01-12,0.21441,-469.3155013872672
1987-01-13,0.208333,-278.2263972690886
1987-01-14,0.208333,-253.26560223103027
1987-01-15,0.219618,-426.4094224377658
1987-01-16,0.21441,-238.57568234107015
1987-01-19,0.222222,-321.6368894359996
1987-01-20,0.225694,-348.9997015673877
1987-01-21,0.235243,-395.3512546852377
1987-01-22,0.258681,-422.8160973723109
1987-01-23,0.234375,-1157.9298442091256
1987-01-26,0.238715,-424.7181907136535
1987-01-27,0.248264,-415.788626841104
1987-01-28,0.249132,-279.65515973886096
1987-01-29,0.238715,-288.78710801317555
1987-01-30,0.253906,-379.6053452352246
1987-02-02,0.253472,-171.09191124168603
1987-02-03,0.249132,-216.30431726616055
1987-02-04,0.25,-115.82824448851107
1987-02-05,0.248264,-155.57875618403688
1987-02-06,0.239149,-166.38837930339758
1987-02-09,0.236979,-495.8252806623945
1987-02-10,0.237847,-162.93481659305084
1987-02-11,0.249132,-219.87231905434388
1987-02-12,0.266493,-676.6137430739807
1987-02-13,0.263889,-297.99316610650567
1987-02-17,0.265625,-257.8248383406273
1987-02-18,0.249132,-468.5372116905784
1987-02-19,0.238715,-1157.4141571549128
1987-02-20,0.236111,-320.36125302111896
1987-02-23,0.250868,-458.7927358047615
1987-02-24,0.263021,-440.21380826869387
