Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,67.420502,68.433998,67.324501,68.433998,68.433998,27278000
2020-01-03,67.400002,68.687500,67.365997,68.075996,68.075996,23408000
2020-01-06,67.581497,69.916000,67.550003,69.890503,69.890503,46768000
2020-01-07,70.023003,70.175003,69.578003,69.755501,69.755501,34330000
2020-01-08,69.740997,70.592499,69.631500,70.251999,70.251999,35314000
2020-01-09,71.096497,71.433998,70.510498,70.989502,70.989502,33200000
2020-01-10,71.473503,71.747002,70.980003,71.447998,71.447998,26258000
2020-01-13,71.762497,72.073997,71.268501,72.001503,72.001503,30730000
2020-01-14,72.000000,72.131500,71.388496,71.529503,71.529503,26076000
2020-01-15,71.651001,72.039001,71.583000,71.959999,71.959999,21550000
2020-01-16,72.272499,72.535004,72.000000,72.508003,72.508003,26080000
2020-01-17,73.126999,74.027496,72.827499,73.975998,73.975998,52424000
2020-01-21,73.949997,74.494003,73.510498,74.112503,74.112503,48930000
2020-01-22,74.486504,75.028999,74.133003,74.193497,74.193497,28458000
2020-01-23,74.377502,74.675003,74.015999,74.234497,74.234497,26650000
2020-01-24,74.640999,74.709999,73.158997,73.308502,73.308502,29786000
2020-01-27,71.577003,71.829002,70.974998,71.586502,71.586502,34132000
2020-01-28,72.086998,72.739998,71.517998,72.525002,72.525002,29724000
2020-01-29,72.922997,73.207001,72.269501,72.834999,72.834999,21566000
2020-01-30,71.904999,72.762497,71.750000,72.712502,72.712502,27110000
2020-01-31,73.392998,73.483498,71.352997,71.639000,71.639000,43822000
2020-02-03,73.082497,74.315002,72.830498,74.129997,74.129997,71636000
2020-02-04,72.724503,73.366997,71.101501,72.270500,72.270500,95880000
2020-02-05,73.180496,73.228996,71.484001,72.302498,72.302498,36376000
2020-02-06,72.598999,74.078003,72.524002,73.798500,73.798500,37822000
2020-02-07,73.369499,74.262497,73.270500,73.955498,73.955498,28360000
2020-02-10,73.861504,75.444000,73.760002,75.432999,75.432999,38302000
2020-02-11,75.663498,76.494003,75.272499,75.502998,75.502998,34852000
2020-02-12,75.792999,76.014999,75.433502,75.931503,75.931503,31042000
2020-02-13,75.500000,76.297501,75.199997,75.669502,75.669502,22914000
2020-02-14,75.726501,76.002502,75.277496,75.936501,75.936501,23198000
2020-02-18,75.717003,76.528000,75.550499,75.972000,75.972000,25642000
2020-02-19,76.360001,76.537003,76.049004,76.243500,76.243500,22746000
2020-02-20,75.950500,76.353500,75.212997,75.849503,75.849503,25962000
2020-02-21,75.228996,75.547501,73.924500,74.172997,74.172997,42520000
