Open,High,Low,Volume,Close,Date,Stock,OpenInt
0.29328,0.30095,0.29328,1,0.29328,24-10-1985,AAPL,0
0.29328,0.29328,0.28814,1,0.28814,25-10-1985,AAPL,0
0.28814,0.28941,0.28814,1,0.28814,28-10-1985,AAPL,0
0.28814,0.28814,0.28556,1,0.28556,29-10-1985,AAPL,0
0.30351,0.30351,0.30351,1,0.30351,30-10-1985,AAPL,0
0.30351,0.30733,0.29712,1,0.29712,31-10-1985,AAPL,0
0.29712,0.30351,0.29712,1,0.29712,01-11-1985,AAPL,0
0.29838,0.30475,0.29838,1,0.29838,04-11-1985,AAPL,0
0.29838,0.30475,0.29712,1,0.29712,05-11-1985,AAPL,0
0.30733,0.3099,0.30733,1,0.30733,06-11-1985,AAPL,0
0.31249,0.3176,0.31249,1,0.31249,07-11-1985,AAPL,0
0.32785,0.33041,0.32785,1,0.32785,08-11-1985,AAPL,0
0.32785,0.33041,0.32018,1,0.32018,11-11-1985,AAPL,0
0.32018,0.32272,0.3176,1,0.3176,12-11-1985,AAPL,0
0.3176,0.3176,0.3099,1,0.3099,13-11-1985,AAPL,0
0.32018,0.32142,0.32018,1,0.32018,14-11-1985,AAPL,0
0.32018,0.32272,0.3176,1,0.3176,15-11-1985,AAPL,0
0.3176,0.32018,0.3176,1,0.3176,18-11-1985,AAPL,0
0.3176,0.32018,0.30733,1,0.30733,19-11-1985,AAPL,0
0.30733,0.3099,0.30351,1,0.30351,20-11-1985,AAPL,0
0.30351,0.30733,0.30351,1,0.30351,21-11-1985,AAPL,0
0.30351,0.30733,0.30095,1,0.30351,22-11-1985,AAPL,0
0.30351,0.30733,0.30351,1,0.30475,25-11-1985,AAPL,0
0.30475,0.3112,0.30351,1,0.3099,26-11-1985,AAPL,0
0.3099,0.32142,0.30733,1,0.32018,27-11-1985,AAPL,0
0.32018,0.32142,0.3176,1,0.32142,29-11-1985,AAPL,0
0.32142,0.32272,0.32018,1,0.32272,02-12-1985,AAPL,0
0.32272,0.32525,0.32018,1,0.32142,03-12-1985,AAPL,0
0.32142,0.32911,0.32142,1,0.32785,04-12-1985,AAPL,0
0.32785,0.33041,0.32018,1,0.32142,05-12-1985,AAPL,0
0.32142,0.32142,0.31249,1,0.31507,06-12-1985,AAPL,0
0.31507,0.32018,0.30733,1,0.3099,09-12-1985,AAPL,0
0.3099,0.31249,0.30733,1,0.3112,10-12-1985,AAPL,0
